index,series,season,story,title,doctor,image,collected,url,watched
44,Doctor Who,6,44,The Dominators,Patrick Troughton,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Dominators,FALSE
45,Doctor Who,6,45,The Mind Robber,Patrick Troughton,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Mind_Robber,FALSE
46,Doctor Who,6,46,The Invasion,Patrick Troughton,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Invasion_(Doctor_Who),FALSE
47,Doctor Who,6,47,The Krotons,Patrick Troughton,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Krotons,FALSE
48,Doctor Who,6,48,The Seeds of Death,Patrick Troughton,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Seeds_of_Death,FALSE
49,Doctor Who,6,49,The Space Pirates,Patrick Troughton,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Space_Pirates,FALSE
50,Doctor Who,6,50,The War Games,Patrick Troughton,TRUE,TRUE,http://en.wikipedia.org/wiki/The_War_Games,FALSE
51,Doctor Who,7,51,Spearhead from Space,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Spearhead_from_Space,FALSE
52,Doctor Who,7,52,Doctor Who and the Silurians,Jon Pertwee,TRUE,FALSE,http://en.wikipedia.org/wiki/Doctor_Who_and_the_Silurians,FALSE
53,Doctor Who,7,53,The Ambassadors of Death,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Ambassadors_of_Death,FALSE
54,Doctor Who,7,54,Inferno,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Inferno_(Doctor_Who),FALSE
55,Doctor Who,7,55,Terror of the Autons,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Terror_of_the_Autons,FALSE
56,Doctor Who,8,56,The Mind of Evil,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Mind_of_Evil,FALSE
57,Doctor Who,8,57,The Claws of Axos,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Claws_of_Axos,FALSE
58,Doctor Who,8,58,Colony in Space,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Colony_in_Space,FALSE
59,Doctor Who,8,59,The Daemons,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_D%C3%A6mons,FALSE
60,Doctor Who,9,60,Day of the Daleks,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Day_of_the_Daleks,FALSE
61,Doctor Who,9,61,The Curse of Peladon,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Curse_of_Peladon,FALSE
62,Doctor Who,9,62,The Sea Devils,Jon Pertwee,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Sea_Devils,FALSE
63,Doctor Who,9,63,The Mutants,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Mutants,FALSE
64,Doctor Who,9,64,The Time Monster,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Time_Monster,FALSE
65,Doctor Who,10,65,The Three Doctors,Jon Pertwee,TRUE,TRUE,https://en.wikipedia.org/wiki/The_Three_Doctors_(Doctor_Who),FALSE
66,Doctor Who,10,66,Carnival of Monsters,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Carnival_of_Monsters,FALSE
67,Doctor Who,10,67,Frontier in Space,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Frontier_in_Space,FALSE
68,Doctor Who,10,68,Planet of the Daleks,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Planet_of_the_Daleks,FALSE
69,Doctor Who,10,69,The Green Death,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Green_Death,FALSE
70,Doctor Who,11,70,The Time Warrior,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Time_Warrior,FALSE
71,Doctor Who,11,71,Invasion of the Dinosaurs,Jon Pertwee,TRUE,TRUE,https://en.wikipedia.org/wiki/Invasion_of_the_Dinosaurs,FALSE
72,Doctor Who,11,72,Death to the Daleks,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Death_to_the_Daleks,FALSE
73,Doctor Who,11,73,The Monster of Peladon,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Monster_of_Peladon,FALSE
74,Doctor Who,11,74,Planet of the Spiders,Jon Pertwee,TRUE,TRUE,http://en.wikipedia.org/wiki/Planet_of_the_Spiders,FALSE
75,Doctor Who,12,75,Robot,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Robot_(Doctor_Who),FALSE
76,Doctor Who,12,76,The Ark in Space,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Ark_in_Space,FALSE
77,Doctor Who,12,77,The Sontaran Experiment,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Sontaran_Experiment,FALSE
78,Doctor Who,12,78,Genesis of the Daleks,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Genesis_of_the_Daleks,FALSE
79,Doctor Who,12,79,Revenge of the Cybermen,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Revenge_of_the_Cybermen,FALSE
80,Doctor Who,13,80,Terror of the Zygons,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Terror_of_the_Zygons,FALSE
81,Doctor Who,13,81,Planet of Evil,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Planet_of_Evil,FALSE
82,Doctor Who,13,82,Pyramids of Mars,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Pyramids_of_Mars,FALSE
83,Doctor Who,13,83,The Android Invasion,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Android_Invasion,FALSE
84,Doctor Who,13,84,The Brain of Morbius,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Brain_of_Morbius,FALSE
85,Doctor Who,13,85,The Seeds of Doom,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Seeds_of_Doom,FALSE
86,Doctor Who,14,86,The Masque of Mandragora,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Masque_of_Mandragora,FALSE
87,Doctor Who,14,87,The Hand of Fear,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Hand_of_Fear,FALSE
88,Doctor Who,14,88,The Deadly Assassin,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Deadly_Assassin,FALSE
